,question_en,answer_en,chapter_no,verse_list
254,What is the story of the People of the Sabbath?,"God commanded the Jews to honor the Sabbath and not to fish on that day. They were tested and punished, and their fish would come to them in abundance on the Sabbath, but would disappear on other days. They tried to keep the fish in pits on the Sabbath and fish for them afterwards. God punished those who disobeyed His command on the Sabbath with a severe punishment. He said to them, 'Become monkeys, despised and excluded from all good,' and so they were. Ask them about the town that was by the sea, when they broke the Sabbath and the fish came to them on their Sabbath, but not on other days. That was a trial for them because of their disobedience. And when a group among them said, 'Why do you advise a people whom God is about to destroy or punish with a severe punishment?' they said, 'As an expiation to our Lord, perhaps they will fear Him.' But when they forgot what they had been reminded of, We saved those who forbade evil and took those who did wrong with a dreadful punishment because of their disobedience. And when they persisted in their disobedience, We said to them, 'Become monkeys, despised and excluded from all good.' - Al-A'raf 163-166",7,[163 164 165 166]
255,"What is the verse that states, 'Allah, the Exalted, has decreed that He will raise against the Jews those who will cause them to taste severe torment and humiliation until the Day of Resurrection,' and please explain it?","And when your Lord declared that He would indeed send against them, until the Day of Resurrection, those who would inflict upon them a painful punishment. Indeed, your Lord is swift in retribution, but He is also Forgiving and Merciful. [Quran 7:167] Then Allah sent Solomon  against them with humiliation and imposed jizya upon them. After him, Pharaoh came and killed them, took them captive, and imposed jizya upon them. They used to pay it to the Magians until the time of our Prophet , when he imposed it upon them and expelled them from Madinah al-Munawwarah.",7,[167]
256,The Jews are a nation scattered throughout the world. Mention the verse that indicates this.,"We have divided them into communities on earth, some of whom are righteous, and some are not. We tested them with good and bad so that perhaps they may return .",7,[168]
257,"After them succeeded an evil generation from whom the Book was inherited, they took the transient worldly gain and said, 'It will be forgiven for us.' And if they were offered a gain like it, they would take it. Was not taken upon them the covenant of the Book that they should not say about Allah except the truth? And they studied what is in it. And the Hereafter is better for those who fear Allah. Do you not understand?","After those whom We have described, a generation came who took the Book in a bad way, they read it and learned it, but disobeyed its commandments, taking whatever worldly gains they could, even if it was through evil means like bribery. Despite this, they would say, 'God will forgive our sins,' telling lies about God. And if the Jews were to gain any fleeting worldly gains from forbidden things, they would take it and consume it, persisting in their sins and forbidden acts. Were not these people bound by the covenant to uphold the Torah and act according to it, and to speak only the truth about God and not lie to Him? They knew what was in the Book, but they ignored it and did not act upon it, breaking their covenant with God. Is it not clear to those who pursue evil gains that what is with God is better and more lasting for the righteous?",7,[169]
258,Why did Allah  raise the mountain above the Children of Israel as if it were a cloud shading them and threatening them?,"Because they did not accept the rulings of the Torah and act upon them, Allah raised the mountain above them and threatened to make it fall upon them if they did not accept the rulings of the Torah.",7,[171]
261,Who are the people that Allah  has prepared for Hell?,"Many among jinn and humans have hearts that they do not understand, so they do not hope for reward nor fear punishment. They have eyes that they do not see the signs of Allah with, and ears that they do not hear the verses of Allah's book with, to reflect upon. These are like cattle, they do not understand what is said to them, nor do they understand what they see, nor do they comprehend good and evil in their hearts to distinguish between them, but they are even more astray.",7,[179]
262,"What is the meaning of  in the verse: 'And to Allah belong the best names, so invoke Him by them and leave those who disbelieve in His names. They will be recompensed for what they used to do.'","Indeed, there are ninety-nine beautiful names of Allah mentioned in the Hadith, so invoke Him by them and leave those who deviate from the truth in His names, as they have derived names for their deities, such as Al-Lat from Allah, Al-'Uzzah from Al-'Aziz, and Manat from Al-Manan. They will have their reward in the Hereafter for what they used to do, and this was before the command to fight was given.",7,[180]
263,Which nation is mentioned in the verse: 'And of those whom We have created there is a nation who guide  by the truth and establish justice therewith' ?,He is the Prophet Muhammad .,7,[181]
264,"What is the meaning of  and  in the noble verses? 'And those who denied Our signs, We shall gradually seize them from where they do not expect.'  'And I will grant them respite, for my plan is firm.'  Al-A'raf.","We will lead them on, opening for them the gates of provision and the faces of livelihood in this world, leading them on until they become confident in what they are in and believe that they are secure, then we will punish them suddenly from where they do not know. - My wish for them: And grant respite to those who reject Our signs, until they think that they will not be punished, thus increasing in disbelief and transgression, and so the punishment will be doubled for them.",7,[182 183]
265,"They ask you about the Hour, 'When will it come to pass?' You are only to inform them that its knowledge is with Allah alone. Its manifestation is imminent, yet severe in the heavens and the earth. It will not come upon them except suddenly. They ask you as if you are well-informed about it. Say, 'Its knowledge is with Allah alone, but most people do not know.'","The disbelievers of Makkah asked you, O Messenger, about the Hour: 'When will it be?' Say to them, 'The knowledge of its time is with Allah alone. He reveals it to no one, not even the angels of the heavens or the prophets. It will not come upon them except suddenly.' They ask you about it as if you were eager to know its time. Say to them, 'The knowledge of it is with Allah alone. Most people, however, do not know this.'",7,[187]
266,Did Prophet Muhammad  know the unseen?,"No, I have no power over any good or harm to myself except as Allah wills. If I knew the unseen, I would have multiplied good, and no evil would have touched me. I am only a warner and a bringer of good news to a people who believe.",7,[188]
267,"Who is this verse addressed to? Explain it. 'Take the easy way out and command what is right, and turn away from the ignorant.'","O Prophet, accept the good qualities and deeds of people, and do not demand from them what is difficult, lest they become disheartened. Command all good words and deeds, and turn away from the disputes of fools and the equality of the ignorant.",7,[199]
268,What do you do when you feel the whispering of the devil?,"Seek refuge in Allah from the accursed devil. Indeed, Allah is Hearing and Knowing. The command is with Allah, and He is the Guardian over His servants. And if a whisper from the devil reaches you, then seek refuge in Allah. Indeed, He is Hearing and Knowing. Those who fear Allah, when they are touched by an evil suggestion from the devil, they remember Allah. Then they see clearly.",7,[200 201]
269,Recite the verse in which Allah commands us to listen attentively when hearing the recitation of the Holy Quran.,"And when the Qur'an is recited, then listen to it and be silent, that you may receive mercy.",7,[204]
270,What are the states of a human being in the remembrance of Allah ? And what is the most preferred time for this remembrance?,"And remember, O Prophet, your Lord within yourself in humility and in fear and in hope, and invoke Him in the morning and in the evening, and do not be of those who are heedless of the remembrance of Allah.",7,[205]
271,"What is the interpretation of the verse: 'Indeed, those who are with your Lord do not disdain His worship, and they exalt Him [and] prostrate to Him.'","Those who are with your Lord from the angels do not disdain to worship Him, but they prostrate to Him and exalt Him night and day, and they do not tire of His worship. To Him belongs what is in the heavens and what is on the earth, and He is free from any imperfection. He is their Lord, and there is no deity besides Him.",7,[206]
272,"In the verse: Who is the one asking, who is responsible, what are the Anfaal, and when was this question asked?","Those who ask are the companions of the Prophet , the responsible one is the Prophet , and the Anfal are the spoils of war. This question was asked after the day of Badr.",8,[1]
273,Who are the true believers?,"Indeed, the believers are only those who, when Allah is mentioned, their hearts become fearful, and when His verses are recited to them, it increases their faith; and they trust in their Lord alone. They are those who establish the prayers at their appointed times and spend from what We have provided them.",8,[2 3 4]
274,"What is the meaning of: 'As your Lord brought you out from your house with the truth, and indeed, a group of the believers were averse to it.' - Al-Anfal 5","Similarly, your Lord has commanded you, O Prophet, to leave the city to meet the Quraysh delegation, and this is by the revelation that Gabriel brought to you, despite the reluctance of a group of believers to leave.",8,[5]
275,"And when Allah promised you one of the two groups, and you wished that the one which was not proficient in war would be yours, but Allah intended to establish the truth by His words and to cut off the root of the disbelievers.","Remember, O you who argue, Allah's promise to you of either victory  through wealth and provisions, or through the mustering of forces and triumph over enemies, for you prefer the victory through wealth over fighting, but Allah intends to establish Islam and raise it through His command, and to eliminate the disbelievers by their destruction.",8,[7]
276,"And when Allah promised you one of the two groups, that it is yours, and you wished that the one without power , and Allah wished to establish the truth by His words and to cut off the root of the disbelievers. What is the meaning of 'one of the two groups' and 'not the one without power'?","One of the two groups: The caravan and what it carries in provisions, or the army, which is fighting the enemies and defeating them. The other group, however, prefers to take the caravan without fighting.",8,[7]
277,"How did Allah  prepare the believers for the Battle of Badr, which led to victory over the disbelievers? Mention the verses and explain them.","Remember Allah's favor upon you at the Battle of Badr when you sought victory over your enemy. Allah responded to your plea, promising to reinforce you with a thousand angels, row upon row. He did this not by your strength or power, but as a sign of His victory and to reassure your hearts. Allah is mighty and wise. He caused drowsiness to overcome you as a mercy, and sent down rain to purify you and remove the whispers of the devil. This strengthened your hearts and steadied your feet. Allah revealed to the angels that He was with you, commanding them to support the believers. He instilled fear and humiliation in the hearts of the disbelievers, so strike their necks and strike off every fingertip from them.",8,[ 9 10 11 12]
278,Can a warrior turn his back on the enemy in battle? Please mention the cases where this is allowed and his fate in other cases.,"Yes, it is permissible to turn one's back if doing so is a tactical move in battle to make the enemy think you are retreating, while intending to attack or to join a group of Muslims for support. However, in other cases, turning away from fighting the enemy deserves Allah's anger, and such a person's abode will be Hell. How wretched the destination and the return will be. O you who believe, when you encounter those who disbelieve in battle, do not turn your backs to them.",8,[15 16]
280,"If you ask for victory, it has already come to you. If you desist, it would be better for you. If you return, we will also return, and your forces will not help you at all, even if they are numerous. And Allah is with the believers.","If you, disbelievers, seek victory, it will only come through your own destruction, as Abu Jahl once said, 'O Allah, who among us is more deserving of mercy and who can bring us something we do not know?' But the morning came and he was destroyed. This victory is upon the destruction of one like Abu Jahl and those who were with him, except for the Prophet  and the believers. If you abandon disbelief and war, it would be better for you. But if you return to war and fighting against Muhammad  and his believing followers, we will return with your defeat, as you were defeated on the day of Badr. Your multitude will not benefit you, just as it did not benefit you on the day of Badr, despite your large numbers, equipment, and the small number of believers. And Allah is with the believers, supporting and aiding them.",8,[19]
281,"Who are the people who said, 'We hear, yet we do not listen' ?",They are either hypocrites or pagans.,8,[21]
282,What is the protection from the evil that has spread on earth -from the creation of Allah- with Allah?,"The deaf and the dumb, who refuse to hear or speak the truth, are those who do not understand God's commands and prohibitions. Indeed, the worst of creatures in the sight of Allah are those who are deaf and dumb and do not use their reason.",8,[22]
283,What does the phrase 'And Allah interposes between a man and his heart' mean?,"God, the Exalted, is the Disposer of all affairs, and He has the power to turn between a person and what their heart desires. No one can believe or disbelieve except by His will.",8,[24]
284,"Do fitnah  only affect those who commit sins, or do they affect everyone? And why?","Trials do not befall those who commit sins or start wrongdoing, but they strike the righteous among them, and that is when they are able to reject injustice and do not accept it. And fear the trial that will not afflict those who have wronged among you, and know that Allah is severe in punishment.",8,[25]
285,"In this verse, what do the phrases 'musta'd'afun fi al-ardi' , 'fa-awakum' , 'aidakum bi-nasrihi' , and 'rizqakum min al-tayyibati'  refer to?",The weak ones on earth . . . .,8,[26]
286,In whom were these verses revealed?,"The verse was revealed to Abu Lubaba, Marwan bin Abd al-Mundhir, whom the Prophet, peace be upon him, had sent to Banu Qurayza to accept his judgment. He advised them to surrender as their families and wealth were with them. O you who believe, do not betray Allah, the Messenger, or your trusts, whether they are related to religion or not, for you know. And know that your wealth and children are a trial for you, but Allah has a great reward. So do not miss out on it by neglecting your wealth, children, and betrayal for their sake. This was revealed in the chapter of Repentance.",8,[27 28]
287,What is the reward of Allah's worship?,"If you fear Allah and do good deeds, He will make a distinction for you between right and wrong, and forgive your past sins and cover them up. He will not punish you for them, for Allah is indeed rich in bounty.",8,[29]
288,"And explain to me the verse: 'And when those who disbelieved planned to harm you, or to kill you, or to drive you out, and they planned, and Allah planned, and Allah is the best of planners.'","Remember, O Muhammad, when those who disbelieved conspired against you, gathering in a single place for consultation, desiring to seize you, kill you, or drive you out of Makkah. But Allah conspired against them, revealing to you their plans and commanding your departure. Indeed, Allah is the best of those who devise plans.",8,[30]
289,"And when Our verses are recited to them, they say, 'We have heard. If we wished, we could say the like of this. This is nothing but tales of the ancients.'  From whom was this verse revealed?","Al-Nadr ibn Al-Harith, for he used to come to Hirah to trade and buy books of foreign news which he would then narrate to the people of Mecca.",8,[31]
290,"What is the meaning of  and  in the noble verse? 'And their prayer at the House was not except mu'kā' and taṣdiyā, so taste the punishment for what you used to disbelieve.'",Clapping: A sign of approval. Audience: An applause.,8,[35]
291,Recite the verse that shows the earth is everything for man from his birth until his resurrection.,"He said: 'In it you will live, and in it you will die, and from it you will be brought out.'",7,[25]
292,What is the best clothing for a believer?,"The best clothing for the believer is the fear of Allah. O children of Adam, We have sent down to you clothing to cover your nakedness and as an adornment. But the clothing of righteousness - that is best. That is from the signs of Allah, perhaps they will remember.",7,[26]
293,What is Allah's advice to the children of Adam regarding the accursed Satan?,"God has warned us, exalted is He, of the devil's deception of man by making sin appealing. O children of Adam, the devil tempts you as he lured your parents from the Garden, exposing their nakedness to show them their shame. He and his tribe see you, though you do not see them. We have made the devils allies of those who do not believe.",7,[27]
294,"What is the meaning of the verse  of Surah Al-A'raf, 'O you people of Adam, take your adornment at every place of prostration'?","When performing each prayer, ensure you are in a state of cleanliness and modesty, covering your private parts, and maintaining purity and similar acts.",7,[31]
295,"Explain this verse: 'Say, “Who has forbidden the adornment of Allah which He has produced for His servants and the good things of His provision?” Say, “They are, for the believers, in this world, like the otherworldly possessions on the Day of Resurrection.” Thus do We detail the verses for a people who understand.”","Say -O Messenger- to those ignorant polytheists: 'Who has forbidden you from the fine clothing that Allah has made lawful for you? And who has forbidden you from enjoying the pure provisions that Allah has provided for you?' Say -O Messenger- to these polytheists: 'Indeed, what Allah has made lawful of clothing, food, and drink is for those who believe in this worldly life, and they will share in it with others. But it will be exclusively theirs on the Day of Resurrection. This is how Allah details His signs for people who have knowledge, so they may understand what is presented to them and discern what is distinguished for them.'",7,[ 32 239]
296,What has Allah  prohibited for the people?,"Allah has prohibited for the people: - the obscene deeds, whether they are apparent or hidden, - all the sins, and among the greatest is transgression against people, - associating anything else with Allah without clear evidence or proof, as there is no valid argument for that, - attributing to Allah what He has not legislated, such as claiming that Allah has a son, - and prohibiting some of the permissible things in clothing and food.",7,[33]
297,What is the meaning of 'They shall have their share from the Book' in the verse?,"They are struck by their predetermined fate, which includes provisions and lifespans, and other matters, as recorded in the Preserved Tablet.",7,[37]
298,What is the meaning of 'until the camel passes through the eye of the needle' in the verse?,"These infidels cannot enter paradise unless a camel passes through the eye of a needle, which is impossible.",7,[40]
299,What is the bed of the people of the Fire and what is their covering?,"Their bed is Hell, and their covering is the fire above them. Thus do We recompense the wrongdoers.",7,[41]
300,"Explain the verse: 'And between them is a barrier, and upon the elevated places are men who recognize each by his marks, and they call out to the companions of Paradise, 'Peace be upon you!' They had not yet entered it, though they were eagerly desiring it.'","Between the people of Paradise and the people of Hellfire is a great barrier called Al-A'raf, and on this barrier are men who recognize the people of Paradise and the people of Hellfire by their signs, such as the whiteness of the faces of the people of Paradise and the blackness of the faces of the people of Hellfire, and these men are a people whose good deeds and sins are equal, hoping for the mercy of Allah.",7,[46]
301,What has God Almighty forbidden for the people of Hellfire?,"God has forbidden the disbelievers from the fire: wine and food, and instead, they will have . And the dwellers of the fire will call upon the dwellers of the paradise, saying, 'Pour upon us some water or what Allah has provided for you.' They will say, 'Indeed, Allah has forbidden both upon the disbelievers.'",7,[50]
302,Explain this verse: 'Invoke your Lord humbly and in private. He does not love the aggressors.',"Invoke your Lord with humility and in secret, for He does not love those who exceed the limits in their prayer, or raise their voices.",7,[55]
303,"What is the metaphor mentioned in the verse: 'And He it is Who sends the winds as heralds of glad tidings, going before His mercy: until when they have carried heavy-laden clouds, We drive them to a land that is dead, then cause rain to descend thereon. Then produce there of every kind of harvest. Thus shall We bring forth the dead, so that you may remember.'","Just as Allah, the Exalted, brings life to a dead land by sending down rain and causing plants and fruits to grow, He also brings the dead back to life from their graves, as He brings forth crops from barren lands after the rain.",7,[57]
304,"Recite the metaphor mentioned in the verse: 'And the good land - its vegetation comes forth by permission of its Lord, and that which is bad - it does not come forth except sparsely. Thus do We diversify the verses for a people who are grateful.'","The pure earth, when rain falls upon it, brings forth good, easy-to-grow produce, by the will of Allah. Similarly, a believer, when Allah's signs are bestowed upon him, benefits from them and bears good, righteous fruit. However, the barren, infertile land yields only hard, worthless produce, and no good fruit. Likewise, the disbeliever does not benefit from Allah's signs.",7,[58]
305,"What was the reason for the destruction of the people of Noah, peace be upon him?","By the flood, they denied him, so We saved him and those with him in the ship, and drowned those who denied Our signs. Indeed, they were a people given to wrongdoing.",7,[64]
306,Who was the prophet of the people of 'Ad?,"And to 'Ad, their brother Hud. He said, 'O my people, worship Allah; you have no other god but Him. Will you not then fear Him?'",7,[65]
307,What physical characteristics distinguished the people of 'Ad?,"They had strength and robustness in their bodies. Or did you wonder that there has come to you an admonition from your Lord through a man from among you, to warn you and remind you when He made you successors after the people of Noah and increased you in prowess. So remember the favors of Allah that you may be successful.",7,[69]
308,"Who was the prophet of the Thamud people, and what was his miracle for his people?","And to Thamud, their brother Salih. He said, 'O my people, worship Allah. You have no other deity but Him. Indeed, there has come to you a clear sign from your Lord - this she-camel of Allah is a sign for you. So leave her to graze in Allah's land and do not touch her with evil, lest you be seized by a painful punishment.'  Al-A'raf",7,[73]
309,"What did the people of Prophet Saleh, peace be upon him, distinguish themselves with?","They carved out homes from the mountains, and remember when He made you successors after the people of Ad and settled you in the land, taking from its plains your dwellings and carving out the mountains into homes. So remember Allah's favors and do not spread mischief in the land.",7,[74]
310,What was the reason for the destruction of the Thamud people ? And what was the cause of their destruction?,"Their punishment was a severe earthquake because they slaughtered the she-camel of Saleh . They disobeyed the command of their Lord, saying, 'O Saleh, bring upon us what you promise us, if you are indeed one of the messengers.' So the earthquake seized them, and they found themselves lying in their homes, dead.",7,[77 78]
311,"What was the sinful act that the people of Lot, peace be upon him, were doing?","They used to come to the men in their rear ends. This is one of the abominations that the people of Lot invented, and no one before them had done such a thing among the creation.",7,[80 81]
312,Did Allah  save all the people of Lot ?,"Yes, except for his wife, may Allah destroy her. We saved him and his family, except for his wife, who was among the losers.",7,[83]
313,What was the reason for the destruction of the people of Lot ?,And We sent down upon them a rain of stones.,7,[84]
314,Who is the prophet of the people of Madinah?,"And to Madyan , their brother Shu'ayb ... [85] Al-A'raf .",7,[85]
315,What was the evil deed of the people of Midian?,"Maintain the correct weight and measure. And to the people of Madyan, their brother Shu'ayb: 'O my people, worship Allah; you have no other god but Him. Clear evidence has come to you from your Lord. So, give full measure and weight, and do not deprive people of their due. And do not cause corruption on earth after it has been set right. That is better for you, if you are believers.'",7,[85]
316,What was the reason for the destruction of the people of Shoaib ?,"Then the shaking seized them, and they found themselves lying prostate in their homes.",7,[91]
317,What was Allah's command when He sent the messengers to the villages until they believed?,"We did not send any messenger to a town without causing them to suffer with hardships and adversities, so that perhaps they would humble themselves [to Allah]. But when We seized them, they did not humble themselves. Instead, they became arrogant and continued to disbelieve. So, We changed their good situation to a bad one, so that perhaps they would remember and return [to Allah]. But they did not change, and so the punishment overtook them suddenly while they were unaware.",7,[94 95]
318,"Did not those who inherit the earth after its people understand that if We had willed, We could have punished them for their sins and sealed their hearts so that they would not hear?","Did it not become clear to those who dwell on the earth after the destruction of its previous inhabitants due to their sins, that if We will, We can punish them for their sins, as We did to their predecessors, and seal their hearts, so that the truth cannot enter it, and they do not hear admonition or reminder?",7,[100]
319,What is the fate of one who spends his wealth in the cause of Allah?,"Those who spend their wealth to give it to those who disbelieve, so that they may turn away from the path of Allah and prevent believers from believing in Allah and His messenger, they spend their wealth in that, then their end will be regret and loss, for their wealth will be gone, and they will not achieve what they desire from extinguishing the light of Allah and turning away from His path, then the believers will overcome them in the end. And those who disbelieved will be gathered into Hell, where they will be punished.",8,[36 37]
320,"Explain this verse: 'Say to those who disbelieve: If they desist, their past will be forgiven; but if they return, then the precedent of the ancients has already been established.'","Say, O Messenger, to those who disbelieve in the Oneness of Allah from the polytheists of your people: 'If they repent from disbelief and enmity towards the Prophet, and return to faith in Allah alone and cease fighting the Prophet and the believers, Allah will forgive them for what preceded. Islam erases what came before it. But if these polytheists return to fighting you, O Messenger, after the battle of Badr, then the way of the first ones has already been set, and that is, if they persist in their disbelief and stubbornness, we will punish them with torment and retribution.'",8,[38]
321,"Explain these verses and fight them until there is no more fitna , and all religion is for Allah. If they desist, then Allah is Seer of what they do. And if they turn away, then know that Allah is your Protector, the Best of protectors and the Best of helpers.","Fight, O you who believe, against those who associate other deities with Allah until they pay the jizyah in submission, and the religion is entirely for Allah. But if they desist, then Allah is Seeing of what they do. And if they turn away, then know that Allah is your protector. Excellent is the protector, and excellent is the helper.",8,[39 40]
322,How do you divide the spoils among the Muslims?,"And know that whatever you obtain as booty, a fifth of it is for Allah and for the Messenger, and for the near relatives [of the Messenger], and for the orphans, the needy, and the wayfarer, if you have faith in Allah and in what We revealed to Our servant on the day of the criterion, the day when the two armies met. And Allah has power over all things.",8,[41]
323,"What is the meaning of 'Al-Adwa Al-Dunya', 'Al-Adwa Al-Quswa', and 'Ar-Rakb' in verse 42 of Surah Al-Anfal?",The Adwa al-Dunya: the side of the valley close to the city. Adwa al-Quswa: the side of the valley far from it. Ar-Rukb: the caravan.,8,[42]
324,"And when He shows them to you in your dreams a few, and if He shows them to you as many, you would have faltered and disputed among yourselves. But Allah has already decreed [the matter], and Allah is Acquainted with that which the breasts conceal. And when He shows them to you, [O Muhammad], while He takes your sleep away, and makes you meet them in dreams as many as [He wills], surely Allah has power over all things. And to Allah will be the return [of all matters].","And remember, O Prophet, when Allah showed you a small number of your enemies in a dream, you informed the believers, and they gained courage and were eager for the fight. But if Allah had shown you a large number, you would have been disheartened and would have disputed about the matter, but Allah saved you from that. Indeed, He is Knowing of the secrets of hearts and the innermost thoughts. And remember also when the enemies came to you in battle, you saw them as few, and you felt small in their eyes, so they left preparing for your war; so that Allah might fulfill His promise to you with victory and triumph, and the word of Allah is the highest, and the word of the disbelievers is the lowest. And to Allah belongs the final decision of all matters, and He will reward each according to his deeds.",8,[43 44]
325,What are the factors for victory when facing the enemy?,"Factors for victory when encountering the enemy: steadfastness and perseverance, frequent remembrance of Allah and invocation to Him, obedience to Allah and His Messenger, avoiding discord to prevent disunity and weakness, and patience when facing the enemy. O you who believe, when you meet a force, be steadfast and remember Allah frequently, that you may prosper. And obey Allah and His Messenger, and do not dispute and [thus] lose heart and your spirit. And be patient, for Allah is with the patient.",8,[45 46]
326,"Recite the reasons for the revelation of this verse: 'And when the Shaytan adorned their deeds in their sight, saying, 'There is no victor for you this day from the people,' and I am your protector.' But when the two armies met, he turned on his heels and said, 'I am free of you. I see what you do not see. I fear Allah, and Allah is severe in punishment.' [48] Al-Anfal.","And remember when Satan - Iblis - embellished their deeds, he incited them to confront the Muslims, as they feared leaving their enemies, the Banu Bakr. He said, 'There is no power over you today from the people, and I am your supporter from the tribe of Kinana.' He approached them in the guise of Sariqah bin Malik, the chief of that region. When the two armies, the believers and the disbelievers, met, and Iblis saw the angels, with his hand in the hand of Harith bin Hisham, he fled. He said, 'When they said to him, 'Have you forsaken us in this state?' - I am innocent of you - 'I see what you do not see from the angels. I fear Allah, lest He should afflict me with a severe punishment.'",8,[48]
327,"Trusting in Allah  and having faith in Allah's promise of victory are the most important factors in achieving victory, not just numbers and equipment. Please quote the noble verse that indicates this meaning and explain it.","Remember when the people of disbelief and hypocrisy, with sick hearts, see the few Muslims and the many enemies, they mock the Muslims' religion, saying they have been deceived by it. However, these hypocrites do not realize that whoever puts their trust in Allah and relies on His promises, Allah will never let them down. For Allah is mighty, nothing is beyond His power, and He is wise in His planning and creation.",8,[49]
328,What happens to the infidels when their souls are seized and they accept and flee from the angels?,"If you, O Messenger, were to witness the angels seizing the souls of the disbelievers and dragging them away, striking their faces in their eagerness and their backs in their flight, saying to them, 'Taste the burning torment,' you would indeed see a great sight. Although this verse was revealed in the context of the Battle of Badr, it is general and applies to every disbeliever.",8,[50]
329,What is the reason for Allah's curse upon a people to be changed to wrath?,"Indeed, the evil consequence is that Allah does not deprive a people of His blessings until they change their good deeds into evil ones. Allah is All-Hearing of His creation's words, All-Knowing of their affairs, and He executes what He wills.",8,[53]
330,"In whom were these noble verses revealed? What is the meaning of  and ? Indeed, the worst of creatures in the sight of Allah are those who have disbelieved, and they will not [truly] believe.  Those with whom you have made a covenant, then they break their covenant every time, and they do not fear Allah.  So if you encounter them in war, make them a terror to those who are behind them, so that perhaps they will be reminded.  And if you fear treachery from a people, throw [their covenant] back at them on equal terms. Indeed, Allah does not like the treacherous.  Al-Anfal.","I descended upon the Banu Qurayza. I tested them, so I found them. Therefore, I expelled them all equally. I annulled their treaty equally, that is, on the same level, as you and they are aware of the breaking of the treaty, so that they may not accuse you of treachery.",8,[55 56 57 58]
331,"And do not think that those who disbelieve have outdone [the believers]. Indeed, they will not escape. [59] Al-Anfal. From whom was this noble verse revealed?","And it was revealed to him who fled from among the disbelievers on the day of Badr. And do not think those who disbelieved that they will escape. Indeed, Allah will not allow the disbelievers to escape.",8,[59]
332,"Allah has commanded us, the Exalted, to prepare as much equipment and supplies as we can to terrify the enemies. Please mention the verses and explain them.","And prepare against them whatever you can of power and of horses tethered, to strike fear into the enemy of Allah and your enemy and others besides them whom you do not know, but Allah knows them. And whatever you spend in the way of Allah will be fully repaid to you, and you will not be wronged.",8,[60]
333,Explain the verses 65 and 66 from Surah Al-Anfal.,"O Prophet, urge the believers to fight. If there are among you twenty [who are] steadfast, they will overcome two hundred [of the enemy]; and if there are a hundred [who are] steadfast, they will overcome a thousand [of the enemy] - for they are people who do not understand. Allah has made it easy for you, [O believers], that He may test you through it. And [He has made it easy for you] that He may purify you. And He may forgive you, for Allah is Forgiving and Merciful. Allah is with the steadfast.",8,[65 66]
334,"To whom was this blessed verse revealed? Explain it. 'It is not for a prophet to have captives until he has thoroughly subdued the land. You desire the fleeting life of this world, but Allah desires the Hereafter. Allah is Mighty and Wise.'","When they took ransom for the captives of Badr, it is not fitting for a prophet to have captives from his enemies until he has struck terror into their hearts and strengthened the religion, and you, O Muslims, by taking ransom for the captives of Badr, seek only worldly gain, but Allah intends to establish His religion with which He will bring about the hereafter. And Allah is mighty and not to be overcome, and He is wise in His legislation.",8,[67]
335,"Explain these verses: 'Had it not been for a Book from Allah that preceded, you would have been touched by a great punishment for what you took. So, eat from what you have gained, which is lawful and good, and fear Allah. Indeed, Allah is Forgiving and Merciful.'","If it were not for a verse from Allah that preceded the judgment and decree, allowing the spoils of war and the ransom of captives for this nation, you would have incurred a great punishment due to taking the spoils and ransom before a ruling was revealed regarding them. So, consume the spoils and ransom, for it is lawful and pure. And maintain the rules of Allah's religion and His legislation. Indeed, Allah is Forgiving towards His servants, Merciful to them.",8,[68 69]
336,"O Prophet, say to those who are in your custody , 'If Allah knows that there is goodness in your hearts, He will give you better  than what was taken from you, and He will forgive you. Allah is Forgiving and Merciful.'  Interpret this verse.","O Prophet, say to those you took captive at the Battle of Badr: 'Do not grieve over the captives you took, for Allah knows what is in your hearts, and if you do good, He will reward you with better than what was taken from you. Allah has fulfilled His promise to the Abbasids and others, and He will forgive your sins. Allah is Most Forgiving to His servants when they repent, and He is Merciful to them.'",9,[70]
337,What does 'innocence from Allah and His Messenger' mean?,"This is a declaration of innocence from Allah and His messenger, and a renunciation of the treaties that were between the Muslims and the pagans.",9,[1]
338,"Explain this verse: 'And roam freely for four months throughout the land, but know that you cannot escape Allah, and Allah humiliates the disbelievers.'","O you disbelievers, travel freely in the land for four months. You will not be harmed by the believers. Know that you will not escape the punishment, and Allah has humiliated the disbelievers and made them inherit disgrace in this world and severe punishment in the Hereafter. This verse is for those with absolute treaties, not temporary ones, or for those with treaties less than four months, their period will be completed to four months, or for those who have broken their treaties.",9,[2]
339,Who maintains and takes care of the houses of Allah?,"Only those who believe in Allah and the Last Day, establish prayer, give zakat, and fear none but Allah, may be among the rightly guided.",9,[18]
340,To whom were these noble verses revealed?,"Verily, We sent down the Qur'an upon those who left their homes and their families and their properties for the sake of Allah. O you who believe, do not take your relatives or your people as allies if they prefer disbelief over faith. And whoever does so, then it is they who are the wrongdoers. Say, O Muhammad, to those who have believed, 'If your relatives or your children or your brothers or your spouses or your family of origin or wealth that you have obtained or trade that you fear will decline or homes that you are fond of - if you prefer them over Allah and His Messenger and striving in His cause, then wait until Allah brings about His command. And Allah does not guide the wrongdoing people.'",9,[23 24]
